,comments,preprocessed comments,sentiment
35,netflix hay are you still watching someone else daughter,netflix hay still watching someone else daughter,neutral
36,running causes accidents please let me help you,running causes accidents please let help,neutral
37,am i going to go and see this,going go see,neutral
38,children in space,children space,neutral
39,where the hell is my covenant sequel dammit crying face,hell covenant sequel dammit crying face,negative
40,oh boy finally a movie worth watching on the big screen,oh boy finally movie worth watching big screen,positive
41,so theyre abandoning the prometheus storyline no lore just typical aliens killing humans i guess,theyre abandoning prometheus storyline lore typical aliens killing humans guess,negative
42,sigh please dont be sht the entire aliens franchise fandom,sigh please dont sht entire aliens franchise fandom,neutral
43,faisehuggas,faisehuggas,neutral
44,finally a movie without hollywood stars to save itself but new talents new faces to what it seems to a great movie much appreciated thanks,finally movie without hollywood stars save new talents new faces seems great movie much appreciated thanks,positive
45,is it a followup to the prometheus films,followup prometheus films,neutral
46,yeah lets do it,yeah lets,neutral
47,cant say it looks that good honestly looks like aliens may have gone the woke route pile of poo,cant say looks good honestly looks like aliens may gone woke route pile poo,positive
48,i like it when trailers dont spoil the entire movie,like trailers dont spoil entire movie,neutral
49,some real cw level acting from that black guy,real cw level acting black guy,positive
50,well im surprised it actually look like an alien movie a good one,well im surprised actually look like alien movie good one,positive
51,when i was in the cinemas when the trailers were playing when i saw the chestbuster scene i felt like i was gonna puke its such a gnarly scene that i cant wait to watch when it comes out,cinemas trailers playing saw chestbuster scene felt like gon na puke gnarly scene cant wait watch comes,neutral
52,the actors are so,actors,neutral
53,i did not even know this was in the works this will get my butt to the theatre for sure deadpool twister now this yasss,even know works get butt theatre sure deadpool twister yasss,positive
54,this looks promising indeed i hope they dont have destroyed it with to much blood,looks promising indeed hope dont destroyed much blood,positive
55,why wasnt a covenant sequel made connecting it to the first alien movie instead of this crap which takes place between alien and aliens after all covenant was left wide open for a sequel so where is it,wasnt covenant sequel made connecting first alien movie instead crap takes place alien aliens covenant left wide open sequel,negative
56,i feel like ive seen this story line before oh thats right alien,feel like ive seen story line oh thats right alien,positive
57,is this alien covenant next part,alien covenant next part,negative
58,looks promising,looks promising,positive
59,franchise ended with aliens and the rest were trash and looks like we can add this one to the heap,franchise ended aliens rest trash looks like add one heap,neutral
60,according to the trailer it is clearly visible that the new film will continue the tradition of the pastnamely the most mediocre actors who play finished degenerates from cheap horror filmsi remember the first parts and i cant even believe that the creator of those films can now do such a shit,according trailer clearly visible new film continue tradition pastnamely mediocre actors play finished degenerates cheap horror filmsi remember first parts cant even believe creator films shit,positive
61,its the face hugger innit,face hugger innit,neutral
62,looks like the perfect cross between alien isolation and james camerons aliens,looks like perfect cross alien isolation james camerons aliens,positive
63,it appears that this is only a remake of a film that didnt really require one im hoping it goes deeper,appears remake film didnt really require one im hoping goes deeper,positive
64,kinda looks like some woke garbage already sad i can already tell its going to be trash,kinda looks like woke garbage already sad already tell going trash,negative
65,reminds me of the alien isolation game i played back in,reminds alien isolation game played back,negative
66,enough of the english actors is getting ridiculous more american now more american actors its aliens english actors are cheap actors,enough english actors getting ridiculous american american actors aliens english actors cheap actors,positive
67,the bar is so low that if they literally just do the exact same thing as the original movie then people will dump money on them,bar low literally exact thing original movie people dump money,positive
68,fox dont give up alien,fox dont give alien,negative
69,there will be such as the rush,rush,neutral
70,how is this connected to prometheus or covenant the entire alien fandom,connected prometheus covenant entire alien fandom,negative
71,humans please call backup le predator eliminate all life forms,humans please call backup le predator eliminate life forms,neutral
72,the last or so alien movies didnt work what does hollywood do make a new one,last alien movies didnt work hollywood make new one,negative
73,i think the word alien should have taken longer to appear,think word alien taken longer appear,negative
74,when you realize what the thumping sound is grinning face with sweat,realize thumping sound grinning face sweat,positive
75,bro why didnt i hear about a new alien probably because everyone been talking about deadpool,bro didnt hear new alien probably everyone talking deadpool,negative
76,finally another alien horror film and not another alien action film,finally another alien horror film another alien action film,negative
77,theres something in the waer what do you mean he means water love but like that planearium fella from south park he cant pronounce the letter t,theres something waer mean means water love like planearium fella south park cant pronounce letter,positive
78,prometheus was cool and alien covenant was ok but this seems like the same alien aliens aliens and aliens resurrection just repackagedprolly a pile of poo movie,prometheus cool alien covenant ok seems like alien aliens aliens aliens resurrection repackagedprolly pile poo movie,positive
79,looks good but i am too scared to go and see it,looks good scared go see,positive
80,ahh an interracial couple in their s getting in trouble in space ahh ahhh so cute so netflix the alien story had died long ago on a distant planet called fury,ahh interracial couple getting trouble space ahh ahhh cute netflix alien story died long ago distant planet called fury,negative
81,are we back looks like were back god i hope were back,back looks like back god hope back,neutral
82,same old formula same boring old franchise in every single of their movie people go somewhere they are surprised attacked by xenomorphs they died and thats it,old formula boring old franchise every single movie people go somewhere surprised attacked xenomorphs died thats,negative
83,i cant quite place itbut havent i seen this movie before,cant quite place itbut havent seen movie,neutral
84,kind of a lame trailer does it have no story line just replaced with young unknown actors and same old same old prometheus was awesome hope this one is that good,kind lame trailer story line replaced young unknown actors old old prometheus awesome hope one good,positive
85,erz something in duh wahur what erz sohing in uh wawher,erz something duh wahur erz sohing uh wawher,negative
86,i love how much this movie looks like alien isolation its really bringing the look of the first movie back,love much movie looks like alien isolation really bringing look first movie back,positive
87,so alien is a teen scream horror now no thanks,alien teen scream horror thanks,negative
88,this is supposed to be a trilogy wheres david,supposed trilogy wheres david,neutral
89,no sigourney not watching,sigourney watching,neutral
90,manse side ts summn indah whath face with tears of joy,manse side ts summn indah whath face tears joy,positive
91,so far it looks like it gonna be a good old style aliens with gpu upgrade,far looks like gon na good old style aliens gpu upgrade,positive
92,sumfin inna wahuh face with tears of joy figured awtx is worth to know now,sumfin inna wahuh face tears joy figured awtx worth know,positive
93,this looks badass,looks badass,neutral
94,i wont see this rubbish,wont see rubbish,neutral
95,must say after all the vs remake prequel and others this one looks actuall promising folded hands light skin tone please be good,must say vs remake prequel others one looks actuall promising folded hands light skin tone please good,positive
96,wokeromulus,wokeromulus,neutral
97,meh,meh,neutral
98,this is really well shot and the trailer has some really effective sound design choices alien smashing into ribcage the high pitched ringing over the slow title reveal now im just hoping the movie itself lives up to how technically good it looks,really well shot trailer really effective sound design choices alien smashing ribcage high pitched ringing slow title reveal im hoping movie lives technically good looks,positive
99,in space no but on the atmosphere spaceships yes you can hear each other scream so really a pointless sentence given the context of the film unless they expect someone to scream out to earth through space lol,space atmosphere spaceships yes hear scream really pointless sentence given context film unless expect someone scream earth space lol,positive
100,is this just a teen thriller doesnt seem to be anyone over in this junk of a movie,teen thriller doesnt seem anyone junk movie,neutral
101,looks good hate the timpani drums though any sound designer worth their salt doesnt use those in a trailer anymore,looks good hate timpani drums though sound designer worth salt doesnt use trailer anymore,positive
102,looks more like a teen slasher than a good alien horror film,looks like teen slasher good alien horror film,positive
103,theres sumfin in the warer guv the warer in majorca dont taste like what it oughta,theres sumfin warer guv warer majorca dont taste like oughta,neutral
104,i dont know rick,dont know rick,neutral
105,the black guy the synthetic this time,black guy synthetic time,negative
106,they all look like kids,look like kids,neutral
107,i have exactly three requests please god let them use good practical effects for the alien please dont let the actors churn out quips left right and center and destroy the atmosphere of the movie and for the love of everything in this world dont let it be as bad as the mess that was the predator i feel like the last one shouldnt be a particularly high bar but holy hell does hollywood seem to love dropping the ball when it comes to churning out new additions to old films,exactly three requests please god let use good practical effects alien please dont let actors churn quips left right center destroy atmosphere movie love everything world dont let bad mess predator feel like last one shouldnt particularly high bar holy hell hollywood seem love dropping ball comes churning new additions old films,positive
108,wooo o o o o,wooo,neutral
109,pass the entire cast look like university students,pass entire cast look like university students,neutral
110,c r i n g e,c r n g e,neutral
111,huh youd think theyd have an allseeing light equipment like that from the beginning makes it easy to see if youve got a chest burster on you,huh youd think theyd allseeing light equipment like beginning makes easy see youve got chest burster,positive
112,something in the wota of course she didnt understood grinning face with sweat,something wota course didnt understood grinning face sweat,neutral
113,bring back predator into it smirking face,bring back predator smirking face,neutral
114,the trailer only made my tinnitus worse,trailer made tinnitus worse,negative
115,they didnt continue davids story but decided to copy the first film very disappointed i wont be watching this regurgitated trash desperate to hook a new generation that dont care about the series,didnt continue davids story decided copy first film disappointed wont watching regurgitated trash desperate hook new generation dont care series,negative
116,thank god we are doing it proper,thank god proper,neutral
117,just seeing the forced inclusion in the casting under the thumb thumbs down light skin tone,seeing forced inclusion casting thumb thumbs light skin tone,negative
118,nowadays movies spoil the trailers,nowadays movies spoil trailers,neutral
119,when i was in theatres and the trailer for this popped up the sound at and was amazing i could feel it and i hope the spund deaign for the movie is good,theatres trailer popped sound amazing could feel hope spund deaign movie good,positive
120,can we get a single star of david rainbow flag hollywood rainbow flag star of david film without all the forced diversity registered in it,get single star david rainbow flag hollywood rainbow flag star david film without forced diversity registered,negative
121,looks like they went back to formula with the visuals and claustrophobic atmosphere of the originals i am ecstatic,looks like went back formula visuals claustrophobic atmosphere originals ecstatic,negative
122,i think i all ready seen this before rehashing,think ready seen rehashing,positive
123,looks good aside from the whole cast being little children,looks good aside whole cast little children,positive
124,another movie about xenomorphs chasing people who bad life bad choices down dark corridors why,another movie xenomorphs chasing people bad life bad choices dark corridors,negative
125,alvarez literally foreshadowing with a shadow on a forehead brilliant,alvarez literally foreshadowing shadow forehead brilliant,positive
126,alien chain alien flying saucer,alien chain alien flying saucer,negative
127,in space no one can hear you alien romulus,space one hear alien romulus,negative
128,are you not entertained not really ummmm so so,entertained really ummmm,negative
129,looks crap,looks crap,negative
130,where are the romulans give me the romulans,romulans give romulans,neutral
131,jesus spike fearn really took the classic booh o waer meme to a whole new level lol,jesus spike fearn really took classic booh waer meme whole new level lol,positive
132,movie with teen most of the time the movie is bad,movie teen time movie bad,negative
133,i think i would have preferred a third and final movie in the david saga rather than another alien on a ship movie but im still optimistic,think would preferred third final movie david saga rather another alien ship movie im still optimistic,negative
134,in space no one can hear you alien well executed tagline totally,space one hear alien well executed tagline totally,negative
135,interesting young cast but the story look like its an alien movie,interesting young cast story look like alien movie,positive
136,same shid different ppl not interested sorry,shid different ppl interested sorry,negative
137,look boring for alien movie,look boring alien movie,negative
138,bro played alien isolation then decided to make an alien movie best decision ever,bro played alien isolation decided make alien movie best decision ever,positive
139,boring slightly smiling face,boring slightly smiling face,negative
140,i have a bad feeling about this,bad feeling,negative
141,hollywood has started casting brits with realistic accents and i dont understand a thing face with tears of joy loudly crying face loudly crying face thay soomthin in the waah,hollywood started casting brits realistic accents dont understand thing face tears joy loudly crying face loudly crying face thay soomthin waah,positive
142,it already looks disappointing dont get your hopes up they will try and insert some woke bullshit,already looks disappointing dont get hopes try insert woke bullshit,negative
143,people who come from their mother are allowed to like this comment,people come mother allowed like comment,neutral
144,alien romulus more like alien ridiculous,alien romulus like alien ridiculous,negative
145,wow director of dont breathe loved that movie,wow director dont breathe loved movie,positive
146,british guy there s something in the wa er american girl omg your accent is so hot british guy there s something in the wa er american girl stop it so sexy british guy,british guy something wa er american girl omg accent hot british guy something wa er american girl stop sexy british guy,positive
147,alien wokulus getting back to the roots of it,alien wokulus getting back roots,negative
148,woke remake of alien looks terrible,woke remake alien looks terrible,negative
149,casting got it wrong,casting got wrong,negative
150,a crew of gen zers vs the xenomorphs im in popcorn please,crew gen zers vs xenomorphs im popcorn please,neutral
151,very nice smiling face with hearts red heart,nice smiling face hearts red heart,positive
152,only thing for certain final girl gonna be light skinned,thing certain final girl gon na light skinned,positive
153,well this seems to be the actual movie and not a concept,well seems actual movie concept,neutral
154,good god please stop hiring briish actors their accents are annoying affff there is som ting in da woah bloody hell get a aussie actor their accents are way better,good god please stop hiring briish actors accents annoying affff som ting da woah bloody hell get aussie actor accents way better,negative
155,humans are fragile and shortlived we will never achieve interstellar space travel,humans fragile shortlived never achieve interstellar space travel,neutral
156,lol even the android is a teenager,lol even android teenager,positive
157,my hypothesis for the black character andy hes the movies android andy hello and upon encountering the xeno his protocols are remotely overridden by weylandyutani and his new protocol becomes insure return of organism for analysis all other considerations secondary i believe that s what we re seeing happen at,hypothesis black character andy hes movies android andy hello upon encountering xeno protocols remotely overridden weylandyutani new protocol becomes insure return organism analysis considerations secondary believe seeing happen,negative
158,so its just a repeat of alien id rather see ridley scotts prometheus series play out,repeat alien id rather see ridley scotts prometheus series play,negative
159,theres somethin in the whata face hugger its just me bruv i hear you like man city this is an arsenal ship,theres somethin whata face hugger bruv hear like man city arsenal ship,neutral
160,in short a ghettoed up alien sequel,short ghettoed alien sequel,negative
161,wow looks terrible,wow looks terrible,negative
162,no ripley wtf,ripley wtf,negative
163,youll be happy to know that i dont even have the app,youll happy know dont even app,positive
164,inspired by alien isolation,inspired alien isolation,negative
165,so alien is a teenage horror flick now,alien teenage horror flick,negative
166,theres a heavy focus on the facehuggers and i love it looks like they fully understand how creepy the facehuggers are and maximised its horror potential,theres heavy focus facehuggers love looks like fully understand creepy facehuggers maximised horror potential,negative
167,a xenophobic film the alien is just seeking asylum,xenophobic film alien seeking asylum,negative
168,i mean ok but why cant we in have a lowkey expertly acted masterpiece like they did in this is looking like boilerplate horror,mean ok cant lowkey expertly acted masterpiece like looking like boilerplate horror,positive
169,this looks about as fresh and exciting as day old scrambled eggs,looks fresh exciting day old scrambled eggs,positive
170,are you sure you wanna do this was ridley asked this before starting down this path,sure wan na ridley asked starting path,positive
171,love this cassette culturefuturism aesthetic of the indoor architecture clearly inspired by the original and isolation,love cassette culturefuturism aesthetic indoor architecture clearly inspired original isolation,positive
172,i bet this will bomb in the box office,bet bomb box office,neutral
173,dei,dei,neutral
174,people who didnt come from tiktok are allowed to like this comment,people didnt come tiktok allowed like comment,neutral
175,gave away every single important moment in the movie,gave away every single important moment movie,positive
176,this guy about to be a meme,guy meme,neutral
177,i would have liked to see what happened after covenant because i feel like this is a step back from continuing the story as we have seen this side play out in older classic alien movies,would liked see happened covenant feel like step back continuing story seen side play older classic alien movies,positive
178,wait a second this actually looks good i guess all we have to wait for is the story,wait second actually looks good guess wait story,positive
179,jesus chris wow that looks awesome,jesus chris wow looks awesome,positive
180,i want to know which one of these characters is going to give us a flute solo,want know one characters going give us flute solo,neutral
181,the batman musicalnote musical notes something in the way alien romulus something in the w o h a h,batman musicalnote musical notes something way alien romulus something w h h,negative
182,looked promising until i saw the cast,looked promising saw cast,positive
183,alien films are tight yeah so were going to essentially shoot the same movie as the first scene for scene and call it romulus wowowow wow,alien films tight yeah going essentially shoot movie first scene scene call romulus wowowow wow,negative
184,wheres ripley with her flamethrower when you need her,wheres ripley flamethrower need,neutral
185,i had high hopes for thisonly to find that its just a rehash of the first movie face with rolling eyes face with rolling eyes face with rolling eyes,high hopes thisonly find rehash first movie face rolling eyes face rolling eyes face rolling eyes,positive
186,i wish we got an alien isolation,wish got alien isolation,negative
187,have i ever told you the definition of insanity,ever told definition insanity,neutral
188,honestly it looks awful face with tears of joy,honestly looks awful face tears joy,positive
189,that face hugger did not ask for consent,face hugger ask consent,neutral
190,extremely excited,extremely excited,positive
191,the teenage pop culture tiktok version of aliens,teenage pop culture tiktok version aliens,neutral
192,oi mate listen i fink theres an alien on this ship i do,oi mate listen fink theres alien ship,negative
193,i didnt expect to find some of the best comedy on the internet in a comments section for an aliens movie trailer,didnt expect find best comedy internet comments section aliens movie trailer,positive
194,the graphics are cartoonish,graphics cartoonish,neutral
195,was hoping sigourney weaver lance hendrickson wyonna ryder ron pearlman return hopefully this aliens movie doesnt bring a disappointment i watch from the beginning the first alien sigourney weaver and tom skerrit,hoping sigourney weaver lance hendrickson wyonna ryder ron pearlman return hopefully aliens movie doesnt bring disappointment watch beginning first alien sigourney weaver tom skerrit,negative
196,will be shit,shit,negative
197,meh,meh,neutral
198,looks woke as hell to me face with rolling eyes unamused face will not be watching face with tears of joy,looks woke hell face rolling eyes unamused face watching face tears joy,positive
199,so sad there is no continuation for prometheus and covenant crying face would be nice to see the whole david arc,sad continuation prometheus covenant crying face would nice see whole david arc,positive
200,this movie is giving me the original alien vibes and i love it,movie giving original alien vibes love,positive
201,trash,trash,neutral
202,oh a teen horror movie face with tears of joy,oh teen horror movie face tears joy,positive
203,oh a ton of acidic blood floating about in zerog sounds like a total nightmare,oh ton acidic blood floating zerog sounds like total nightmare,neutral
204,no thanks,thanks,negative
205,theres something in the woer rolling on the floor laughing,theres something woer rolling floor laughing,neutral
206,is there nothing new here this looks like an entire film about the facehugger concept but they invade your mouth omg tiktok,nothing new looks like entire film facehugger concept invade mouth omg tiktok,positive
207,imagine a predator shows up at the end and just kills everything,imagine predator shows end kills everything,neutral
208,man modern trailers just do be spoiling the whole thing huh,man modern trailers spoiling whole thing huh,positive
209,a bunch of kids i expected it to be an adult film well see if its any good,bunch kids expected adult film well see good,positive
210,what dat mouth do rollingonthefloorlaughing,dat mouth rollingonthefloorlaughing,neutral
211,i can smell the wokeness in this movie also dont they know that most of the people who grew up watching the originals are boomers gen x and millennials whats with all the children playing all the roles in the movie,smell wokeness movie also dont know people grew watching originals boomers gen x millennials whats children playing roles movie,positive
212,this ridley i feel trolled,ridley feel trolled,neutral
213,we are going to need nerds for this timeline,going need nerds timeline,neutral
214,alien tiktok,alien tiktok,negative
215,face with open mouth,face open mouth,neutral
216,nothing new,nothing new,positive
217,looks like it has a great potential to be the worst crap ever made so far,looks like great potential worst crap ever made far,negative
218,theyre really throwing it back a bit with the old ship settings the claustrophobic closedin scenes this is almost a breath of fresh air,theyre really throwing back bit old ship settings claustrophobic closedin scenes almost breath fresh air,negative
219,they bout to discover what the ripleys encountered and survived for yearsnostalgia wow face screaming in fear alien skull and crossbones,bout discover ripleys encountered survived yearsnostalgia wow face screaming fear alien skull crossbones,negative
220,is this the aftermath of covenant,aftermath covenant,neutral
221,lol wtf,lol wtf,positive
222,another sequel thats just an inferior remake of the first movie the best sequel was aliens because it tried something different was welldirected and had strong character development the rest of thr sequels are remakes of the first movie with more stupid characters but at least prometheus was more ambitious and showed a lot of lost potential for a better more interesting movie that they ultimately steered away from to deliver more of the same but at least david was an interesting character and provided some continuity and character development from one film to the next something these films need in the absence of ripley this movie looks like the first movie but with more computer effects and worse characters and acting and directing junk this franchise and universe deserves more interesting and original movies the lore is interesting but all we ever see filmed are scared idiots running down dimlylit spaceship corridors slight variations of the same xenomorph and facehugger and chestburster scenes in every movie how about a more thoughtful and psychological entry in the series where people talk and say interesting things and the implications of a hostile alien presence are discussed sometimes i wonder why i expect more of this franchise when all it wants to show us is the same violent scenes over and over forever,another sequel thats inferior remake first movie best sequel aliens tried something different welldirected strong character development rest thr sequels remakes first movie stupid characters least prometheus ambitious showed lot lost potential better interesting movie ultimately steered away deliver least david interesting character provided continuity character development one film next something films need absence ripley movie looks like first movie computer effects worse characters acting directing junk franchise universe deserves interesting original movies lore interesting ever see filmed scared idiots running dimlylit spaceship corridors slight variations xenomorph facehugger chestburster scenes every movie thoughtful psychological entry series people talk say interesting things implications hostile alien presence discussed sometimes wonder expect franchise wants show us violent scenes forever,positive
223,to use the chest burster sound as a beat creating tension as a musical que for the trailer is brilliant,use chest burster sound beat creating tension musical que trailer brilliant,positive
224,i will avoid this rereboot simply on this sound all this tech and you choose tinnitus as silence face screaming in fear,avoid rereboot simply sound tech choose tinnitus silence face screaming fear,positive
225,if someone could explain why the alien franchise would use romulus in its title a word that is closely associated with the star trek franchise i would appreciate it,someone could explain alien franchise would use romulus title word closely associated star trek franchise would appreciate,negative
226,the xenomorph and tinnitus the cosmic horror has gone to god tier now,xenomorph tinnitus cosmic horror gone god tier,neutral
227,i dont like scifi movies but the part was pretty cool,dont like scifi movies part pretty cool,positive
228,theres something in the watah,theres something watah,neutral
229,teen wave meets alien yea ill pass,teen wave meets alien yea ill pass,negative
230,only alien and aliens were great films rest of them were just utter trash and that old fart boomer completely ruined his own film with prometheus film anyway if you gonna make a good alien film the main character should be a european man because that would be a good start and gives a radical kick against the official ideology,alien aliens great films rest utter trash old fart boomer completely ruined film prometheus film anyway gon na make good alien film main character european man would good start gives radical kick official ideology,positive
231,so its a remake of the first alien film what a waste,remake first alien film waste,negative
232,all weve been asking for is a prometheus sequel that would go in depth about the engineers instead were getting this generic teenyebopper space slasher looking movie smh,weve asking prometheus sequel would go depth engineers instead getting generic teenyebopper space slasher looking movie smh,neutral
233,hey what happens when a bunch of women in a ship meet the alien garbage remake of the first movie wont waste a dime its been star warsed,hey happens bunch women ship meet alien garbage remake first movie wont waste dime star warsed,negative
234,i think ive seen this movie before,think ive seen movie,neutral
235,ok i will say it no one can hear you scream in space,ok say one hear scream space,positive
236,retire the xenomorph and let ridley scott continue with prometheus and the first half of alien covenant this movie has been made before the engineers and david rogue ai are much more interesting,retire xenomorph let ridley scott continue prometheus first half alien covenant movie made engineers david rogue ai much interesting,positive
237,i remember the week of trauma and horror trying to sleep in my bed alone after i watched the first alien movie when i was like or literally was thinking they are everywhere after dark,remember week trauma horror trying sleep bed alone watched first alien movie like literally thinking everywhere dark,negative
238,hooray for bad lighting lousy cgi and repetitive jump scares,hooray bad lighting lousy cgi repetitive jump scares,negative
239,another box office disaster coming grinning face with sweat grinning face with sweat grinning face with sweat,another box office disaster coming grinning face sweat grinning face sweat grinning face sweat,neutral
240,austin jason is a bot,austin jason bot,neutral
241,idc what you guys say but they definitely doing better than fast and furious franchise,idc guys say definitely better fast furious franchise,positive
242,omg this is so the alien isolation game,omg alien isolation game,negative
243,just makes the quality of the original alien stand out more these new movies are sub par like the whole industry doesnt remember how to make a good feeling movie,makes quality original alien stand new movies sub par like whole industry doesnt remember make good feeling movie,positive
244,rome,rome,neutral
245,what is this alien tik tokkers colonial marines,alien tik tokkers colonial marines,negative
246,so bad,bad,negative
247,the only chance to save this franchise was prometheus and you ruined in these copy paste alien stories will give no ones attention,chance save franchise prometheus ruined copy paste alien stories give ones attention,negative
248,bros face is getting absolutely violated droolingface,bros face getting absolutely violated droolingface,positive
249,who else misses the amanda ripley who knows awtx this is the most amazing thing i came across for a while,else misses amanda ripley knows awtx amazing thing came across,positive
250,alien covenant follow up,alien covenant follow,negative
251,got a feeling this will actually be quite a good movie to be honest,got feeling actually quite good movie honest,positive
252,okokok just watch the half of the trailer guys cant wait,okokok watch half trailer guys cant wait,negative
253,alien isolation vibe i love it,alien isolation vibe love,positive
254,romulus finally a star trek and alien crossover,romulus finally star trek alien crossover,negative
255,i wish this was a crossover movie about a xenomorph infestation of the romulan star empire,wish crossover movie xenomorph infestation romulan star empire,neutral
256,man this thing is turning into friday thhalloween kinda spaghetti horror franchise nothing left,man thing turning friday thhalloween kinda spaghetti horror franchise nothing left,neutral
257,is this continuing from alien covalent,continuing alien covalent,negative
258,this is a firecoolwe are really waiting for your work,firecoolwe really waiting work,positive
259,i will not spend my money on this casting a bunch of year olds is loosing me on this one,spend money casting bunch year olds loosing one,neutral
260,stoked stoked stoked,stoked stoked stoked,neutral
261,alvarez hasnt made a bad film yet consider me mildly optimistic,alvarez hasnt made bad film yet consider mildly optimistic,negative
262,i see nothing new here just different faces different places otherwise sos this well is long ago dried upill pass,see nothing new different faces different places otherwise sos well long ago dried upill pass,negative
263,ahhhhhh ellen ripley just give me a gun and i will finish this tonight,ahhhhhh ellen ripley give gun finish tonight,neutral
264,this actually looks very good my only problem is that it looks like the alien hijacked a high school bus going away to summer camp these actors are really young nothing like the original or the classic aliens where the whole cast other than the displaced child newt were full fledge adults,actually looks good problem looks like alien hijacked high school bus going away summer camp actors really young nothing like original classic aliens whole cast displaced child newt full fledge adults,positive
265,theres something in the waah idk theres something in the fing whaah,theres something waah idk theres something fing whaah,neutral
266,studio why does nobody like movies anymore also studio ctrlc ctrlv,studio nobody like movies anymore also studio ctrlc ctrlv,neutral
267,bunch of kids in space,bunch kids space,neutral
268,im excited,im excited,positive
269,in space no one can understand your thick british accent,space one understand thick british accent,negative
270,not finishing the michael fasbender trilogy with david the android is criminal activity,finishing michael fasbender trilogy david android criminal activity,negative
271,i dont understand why go back to the moviesthe latest films such as prometious etc have made this follow the other previous releases,dont understand go back moviesthe latest films prometious etc made follow previous releases,positive
272,one of the best movie trailer ive ever seen tbh,one best movie trailer ive ever seen tbh,positive
273,dont get me wrong i love fede alvarez movies but this seems to me like some random teens in space running all over the place without any grownup i hope i m wrong,dont get wrong love fede alvarez movies seems like random teens space running place without grownup hope wrong,negative
274,tired of woke hollywood,tired woke hollywood,negative
275,love the way the writing alien appears on screen in silence while flashing between scenes genuinely feels different and refreshing as opposed to that recycled style dun dun dun slamming door sound or whatever hahaaha,love way writing alien appears screen silence flashing scenes genuinely feels different refreshing opposed recycled style dun dun dun slamming door sound whatever hahaaha,positive
276,ok now i want to see it,ok want see,positive
277,looks pretty cool,looks pretty cool,positive
278,the only early critique i have is it doesnt have any star power,early critique doesnt star power,positive
